Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Cuadernos de Historia del Arte,Double anonymous peer review,No,NA,Yes,00701688
Dumbarton Oaks Papers,Double anonymous peer review,No,NA,Yes,00707546
Etnografia Polska,Double anonymous peer review,No,NA,Yes,00711861
Filología,Double anonymous peer review,No,NA,Yes,0071495X
Glottodidactica,Double anonymous peer review,No,NA,Yes,00724769
Historia (Santiago),Double anonymous peer review,No,NA,Yes,00732435
Hoehnea,Peer review,No,NA,Yes,00732877
El Hornero,Anonymous peer review,No,NA,Yes,00733407
Iheringia: Série Botânica,Anonymous peer review,No,NA,Yes,00734705
Iheringia: Série Zoologia,Peer review,No,NA,Yes,00734721
Memorias do Instituto Oswaldo Cruz,"Peer review, Anonymous peer review",No,NA,Yes,00740276
The Iraqi Journal of Agricultural science,Peer review,Yes,350000 IQD; 300 USD,Yes,00750530
Jahrbuch für Wirtschaftsgeschichte,Double anonymous peer review,No,NA,Yes,00752800
Kasmera,Double anonymous peer review,No,NA,Yes,00755222
Koedoe: African Protected Area Conservation and Science,Double anonymous peer review,Yes,12438 ZAR,Yes,00756458
Anales,Double anonymous peer review,No,NA,Yes,00757411
Lilloa,Double anonymous peer review,No,NA,Yes,00759481
Łódzkie Studia Etnograficzne,Double anonymous peer review,No,NA,Yes,00760382
Lychnos,Double anonymous peer review,No,NA,Yes,00761648
Mélanges de la Casa de Velázquez,Double anonymous peer review,No,NA,Yes,0076230X
Materiale și Cercetări Arheologice,Anonymous peer review,No,NA,Yes,00765147
Medicina,Peer review,No,NA,Yes,00766046
Oceanologia,Anonymous peer review,No,NA,Yes,00783234
Onomastica,Double anonymous peer review,No,NA,Yes,00784648
Orientalia Suecana,Open peer review,No,NA,Yes,00786578
Postępy Mikrobiologii,Double anonymous peer review,Yes,350 EUR,Yes,00794252
Acta Universitatis Wratislaviensis. Prace Literackie,Double anonymous peer review,No,NA,Yes,00794767
Právněhistorické studie,Anonymous peer review,No,NA,Yes,00794929
Przegląd Archeologiczny,Double anonymous peer review,No,NA,Yes,00797138
Przeszłość Demograficzna Polski,Double anonymous peer review,No,NA,Yes,00797189
Pyrenae,Double anonymous peer review,No,NA,Yes,00798215
Revista Cartográfica,Double anonymous peer review,No,NA,Yes,00802085
RAUSP: Revista de Administração da Universidade de São Paulo,Double anonymous peer review,No,NA,Yes,00802107
Roczniki Biblioteczne,Double anonymous peer review,No,NA,Yes,00803626
Revista da Escola de Enfermagem da USP,"Peer review, Double anonymous peer review, Open peer review",Yes,500 USD; 1600 BRL,Yes,00806234
Slavia Antiqua,Double anonymous peer review,No,NA,Yes,00809993
Sprawozdania Archeologiczne,Double anonymous peer review,No,NA,Yes,00813834
Studia Anglica Posnaniensia,Double anonymous peer review,No,NA,Yes,00816272
Studia Historiae Oeconomicae,Double anonymous peer review,No,NA,Yes,00816485
Studia Philosophica,Peer review,No,NA,Yes,00816825
Studia Rossica Posnaniensia,Double anonymous peer review,No,NA,Yes,00816884
Studia z Filologii Polskiej i Słowiańskiej,Double anonymous peer review,No,NA,Yes,00817090
Trabajos de Prehistoria,Double anonymous peer review,No,NA,Yes,00825638
Tyndale Bulletin,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,00827118
Prace Historyczne,Double anonymous peer review,No,NA,Yes,00834351
Zagadnienia Rodzajów Literackich,Double anonymous peer review,No,NA,Yes,00844446
Conimbriga,Double anonymous peer review,No,NA,Yes,00849189
Natalia,Double anonymous peer review,No,NA,Yes,00853674
Revista Brasileira de Entomologia,Anonymous peer review,Yes,300 USD,Yes,00855626
Sociološki Pregled,Double anonymous peer review,Yes,5000 RSD,Yes,00856320
Antarctic Record,Anonymous peer review,No,NA,Yes,00857289
Fishery Bulletin,Double anonymous peer review,No,NA,Yes,00900656
Environmental Health Perspectives,Peer review,No,NA,Yes,00916765
Geophysical Research Letters,Anonymous peer review,Yes,2900 USD; 2200 GBP; 2450 EUR,Yes,00948276
Revista Brasileira de Ciência do Solo,Peer review,Yes,100 USD,Yes,01000683
Navigator,Double anonymous peer review,No,NA,Yes,01001248
Revista de Medicina da UFC,Peer review,No,NA,Yes,01001302
Cadernos de Pesquisa,Peer review,No,NA,Yes,01001574
Ciência da Informação,Double anonymous peer review,No,NA,Yes,01001965
Pesquisa Agropecuária Brasileira,Peer review,No,NA,Yes,0100204X
Brazilian Journal of Veterinary Medicine,Double anonymous peer review,Yes,100 USD,Yes,01002430
Revista Brasileira de Fruticultura,Double anonymous peer review,Yes,1400 BRL,Yes,01002945
Educação & Realidade,Double anonymous peer review,No,NA,Yes,01003143
Revista Caatinga,Anonymous peer review,Yes,1000 BRL,Yes,0100316X
Revista do Instituto de Latícinios Cândido Tostes,Double anonymous peer review,No,NA,Yes,01003674
Química Nova,Peer review,Yes,330 USD,Yes,01004042
Eclética Química,Double anonymous peer review,No,NA,Yes,01004670
Kriterion,Anonymous peer review,No,NA,Yes,0100512X
Revista Brasileira de Educação Médica,Peer review,Yes,2300 BRL,Yes,01005502
Manuscrito,Anonymous peer review,No,NA,Yes,01006045
Revista Árvore,Peer review,Yes,500 BRL,Yes,01006762
Engenharia Agrícola,Anonymous peer review,Yes,500 BRL,Yes,01006916
Revista do Colégio Brasileiro de Cirurgiões,Double anonymous peer review,Yes,2000 BRL,Yes,01006991
Revista Brasileira de Ginecologia e Obstetrícia,Peer review,No,NA,Yes,01007203
Pesquisa Veterinária Brasileira,Anonymous peer review,Yes,480 USD,Yes,0100736X
Planta Daninha,Peer review,Yes,300 BRL,Yes,01008358
Religião e Sociedade,Double anonymous peer review,No,NA,Yes,01008587
Arquivos Brasileiros de Psicologia,Double anonymous peer review,No,NA,Yes,01008692
Brazilian Journal of Medical and Biological Research,Peer review,Yes,3300 BRL; 1600 USD,Yes,0100879X
Revista de Odontologia da UNESP,Peer review,Yes,700 BRL,Yes,01011774
Signo,Peer review,No,NA,Yes,01011812
Brazilian Journal of Nephrology,Anonymous peer review,No,NA,Yes,01012800
Estudos Teológicos,Anonymous peer review,No,NA,Yes,01013130
Brazilian Journal of Political Economy,Peer review,No,NA,Yes,01013157
Trans/Form/Ação,Double anonymous peer review,No,NA,Yes,01013173
Cadernos Cedes,Double anonymous peer review,No,NA,Yes,01013262
Revista Brasileira de Ciências do Esporte,Double anonymous peer review,Yes,250 USD,Yes,01013289
Novos Estudos CEBRAP,Peer review,No,NA,Yes,01013300
Letras de Hoje,Double anonymous peer review,No,NA,Yes,01013335
Estudos Ibero Americanos,Double anonymous peer review,No,NA,Yes,01014064
Estudos Econômicos,"Editorial review, Double anonymous peer review",No,NA,Yes,01014161
Educação,Double anonymous peer review,No,NA,Yes,0101465X
Anais do Museu Paulista: História e Cultura Material,Peer review,No,NA,Yes,01014714
Ilha do Desterro,Double anonymous peer review,No,NA,Yes,01014846
Revista DAE,Double anonymous peer review,No,NA,Yes,01016040
Serviço Social & Sociedade,Double anonymous peer review,Yes,100 USD; 480 BRL,Yes,01016628
Revista Águas Subterrâneas,Double anonymous peer review,No,NA,Yes,01017004
Boletim Goiano de Geografia,Anonymous peer review,No,NA,Yes,0101708X
Revista da Faculdade de Direito da UFG,Double anonymous peer review,No,NA,Yes,01017187
Educação & Sociedade,Double anonymous peer review,Yes,1000 BRL; 300 USD,Yes,01017330
Boletim Gaùcho de Geografia,Double anonymous peer review,No,NA,Yes,01017888
Revista Tecnologia,Anonymous peer review,No,NA,Yes,01018191
Uniletras,Double anonymous peer review,No,NA,Yes,01018698
Revista de Doutrina e Jurisprudência,Double anonymous peer review,No,NA,Yes,01018868
Educação (Santa Maria. Online),Anonymous peer review,No,NA,Yes,01019031
História,Double anonymous peer review,No,NA,Yes,01019074
Sequência: Estudos Juridicos e Politicos,Double anonymous peer review,No,NA,Yes,01019562
Revista de Ciências Humanas,Peer review,No,NA,Yes,01019589
Anuário do Instituto de Geociências,Double anonymous peer review,No,NA,Yes,01019759
Revista Brasileira de História,"Anonymous peer review, Double anonymous peer review, Open peer review",No,NA,Yes,01020188
Revista de Arqueologia,Double anonymous peer review,No,NA,Yes,01020420
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Peer review,Yes,800 USD,Yes,01020935
Revista de Psicologia,Double anonymous peer review,No,NA,Yes,01021222
Revista de Homeopatia,Peer review,No,NA,Yes,0102227X
Revista Brasileira de Estudos de População,Double anonymous peer review,No,NA,Yes,01023098
Cadernos de Saúde Pública,Peer review,No,NA,Yes,0102311X
Acta Botânica Brasílica,Peer review,No,NA,Yes,01023306
C&T,Double anonymous peer review,No,NA,Yes,01023543
Revista Brasileira de Ortopedia,Double anonymous peer review,No,NA,Yes,01023616
Psicologia: Teoria e Pesquisa,Peer review,No,NA,Yes,01023772
Cadernos de Estudos Sociais,Double anonymous peer review,No,NA,Yes,01024248
Projeto História,Double anonymous peer review,No,NA,Yes,01024442
DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,Editorial review,No,NA,Yes,01024450
Perspectiva Teológica,Double anonymous peer review,No,NA,Yes,01024469
Educação em Revista,Double anonymous peer review,No,NA,Yes,01024698
O Eixo e a Roda: Revista de Literatura Brasileira,Peer review,No,NA,Yes,01024809
Boletim de Geografia,Double anonymous peer review,No,NA,Yes,01025198
Revista Baiana de Enfermagem,Double anonymous peer review,Yes,350 BRL,Yes,01025430
Estudos Linguísticos e Literários,Double anonymous peer review,No,NA,Yes,01025465
Perspectiva,Double anonymous peer review,No,NA,Yes,01025473
Boletim Técnico do Senac,Peer review,No,NA,Yes,0102549X
Cadernos de Estudos Lingüísticos,Double anonymous peer review,No,NA,Yes,01025767
Lua Nova: Revista de Cultura e Política,Anonymous peer review,No,NA,Yes,01026445
ABCD: Arquivos Brasileiros de Cirurgia Digestiva,Peer review,No,NA,Yes,01026720
Revista Gaúcha de Enfermagem,Peer review,Yes,1000 BRL,Yes,01026933
Sociedade e Estado,Peer review,No,NA,Yes,01026992
Acervo,Double anonymous peer review,No,NA,Yes,0102700X
Vetor,Anonymous peer review,No,NA,Yes,01027352
"Sinergia: Revista do Instituto de Ciências Econômicas, Administrativas e Contábeis",Anonymous peer review,No,NA,Yes,01027360
Distúrbios da Comunicação,Peer review,No,NA,Yes,0102762X
Brazilian Journal of Cardiovascular Surgery,Double anonymous peer review,No,NA,Yes,01027638
Revista Brasileira de Meteorologia,Peer review,Yes,300 BRL,Yes,01027786
Psicologia: Reflexão e Crítica,Anonymous peer review,Yes,1040 GBP; 1490 USD; 1240 EUR,Yes,01027972
Revista de Educação Física,Peer review,No,NA,Yes,01028464
Contexto Internacional,Double anonymous peer review,No,NA,Yes,01028529
Acta Cirúrgica Brasileira,Peer review,Yes,1500 USD; 1500 BRL,Yes,01028650
Contexto & Educação,Double anonymous peer review,Yes,400 BRL,Yes,01028758
Caderno de Letras,Double anonymous peer review,No,NA,Yes,01029576
Geochimica Brasiliensis,Double anonymous peer review,No,NA,Yes,01029800
Revista Sociais e Humanas,Double anonymous peer review,No,NA,Yes,01030620
Agropecuária Catarinense,Double anonymous peer review,No,NA,Yes,01030779
Saúde em Debate,Double anonymous peer review,No,NA,Yes,01031104
Geografia Ensino & Pesquisa,Double anonymous peer review,No,NA,Yes,01031538
Sociedade & Natureza,Double anonymous peer review,No,NA,Yes,01031570
Biotemas,Double anonymous peer review,Yes,350 BRL,Yes,01031643
Estudos de Psicologia (Campinas),Anonymous peer review,No,NA,Yes,0103166X
Trabalhos em Linguística Aplicada,Double anonymous peer review,No,NA,Yes,01031813
Remate de Males,Double anonymous peer review,No,NA,Yes,0103183X
Revista de Economia e Sociologia Rural,Anonymous peer review,Yes,600 BRL,Yes,01032003
Tempo Social,Anonymous peer review,No,NA,Yes,01032070
Caligrama: Revista de Estudos Românicos,Peer review,No,NA,Yes,01032178
Revista do Instituto Florestal,Peer review,No,NA,Yes,01032674
HU Revista,Anonymous peer review,No,NA,Yes,01033123
Teocomunicação,Double anonymous peer review,No,NA,Yes,0103314X
Revista Brasileira de Ciência Política,Anonymous peer review,No,NA,Yes,01033352
Revista Juridica,Double anonymous peer review,No,NA,Yes,01033506
Linha D'Água,Double anonymous peer review,No,NA,Yes,01033638
Transinformação,Double anonymous peer review,No,NA,Yes,01033786
Revista da Educação Física,"Peer review, Anonymous peer review",Yes,800 BRL,Yes,01033948
Geosul,Peer review,No,NA,Yes,01033964
Estudos Avançados,Double anonymous peer review,No,NA,Yes,01034014
DST,Double anonymous peer review,No,NA,Yes,01034065
Motrivivência,Double anonymous peer review,No,NA,Yes,01034111
Alimentos e Nutrição,Peer review,No,NA,Yes,01034235
"Classica, Revista Brasileira de Estudos Clássicos",Double anonymous peer review,No,NA,Yes,01034316
Revista Saúde,Double anonymous peer review,No,NA,Yes,01034499
Caderno CRH,Peer review,No,NA,Yes,01034979
Journal of the Brazilian Chemical Society,Peer review,Yes,495 USD; 1890 BRL,Yes,01035053
Revista Brasileira de Terapia Intensiva,Peer review,No,NA,Yes,0103507X
Fisioterapia em Movimento,Peer review,Yes,600 BRL,Yes,01035150
Brazilian Neurosurgery,Double anonymous peer review,No,NA,Yes,01035355
Psico,Double anonymous peer review,No,NA,Yes,01035371
Textos de Economia,Double anonymous peer review,No,NA,Yes,01036017
Revista Brasileira de Sexualidade Humana,Double anonymous peer review,No,NA,Yes,01036122
Nova Economia,Peer review,No,NA,Yes,01036351
Brazilian Dental Journal,Peer review,Yes,550 BRL,Yes,01036440
Psicologia USP,Double anonymous peer review,No,NA,Yes,01036564
Estudos em Avaliação Educacional,Peer review,No,NA,Yes,01036831
Leitura,Double anonymous peer review,No,NA,Yes,01036858
Revista Brasileira de Literatura Comparada,Double anonymous peer review,No,NA,Yes,01036963
RGO: Revista Gaúcha de Odontologia,Double anonymous peer review,No,NA,Yes,01036971
Signótica,Double anonymous peer review,No,NA,Yes,01037250
Pro-Posições,Anonymous peer review,No,NA,Yes,01037307
Opus,Double anonymous peer review,No,NA,Yes,01037412
Horizontes,Anonymous peer review,No,NA,Yes,01037706
Estudos de Religião,Double anonymous peer review,No,NA,Yes,0103801X
Caderno de Geografia,Double anonymous peer review,No,NA,Yes,01038427
Revista Brasileira de Parasitologia Veterinária,Anonymous peer review,Yes,300 USD; 1000 BRL,Yes,0103846X
Ciência Rural,Peer review,Yes,700 BRL,Yes,01038478
Ciência Agrícola,Anonymous peer review,No,NA,Yes,01038699
Revista Médica de Minas Gerais,"Peer review, Anonymous peer review, Double anonymous peer review",No,NA,Yes,0103880X
Reflexão & Ação,Peer review,No,NA,Yes,01038842
Scientia Agricola,Peer review,Yes,900 USD,Yes,01039016
Direito em Debate,Double anonymous peer review,Yes,300 BRL,Yes,01039040
Revista do Museu de Arqueologia e Etnologia,Peer review,No,NA,Yes,01039709
Revista Acadêmica Ciência Animal,Peer review,No,NA,Yes,0103989X
Ciência Florestal,Peer review,Yes,250 BRL,Yes,01039954
Brazilian Journal of Anesthesiology,Double anonymous peer review,No,NA,Yes,01040014
Infarma: Pharmaceutical Sciences,Double anonymous peer review,No,NA,Yes,01040219
Revista Estudos Feministas,Peer review,No,NA,Yes,0104026X
Revista de Cultura Teológica,Editorial review,No,NA,Yes,01040529
Revista de Estudos da Linguagem,Double anonymous peer review,No,NA,Yes,01040588
Economia e Sociedade,Double anonymous peer review,No,NA,Yes,01040618
Texto & Contexto Enfermagem,Peer review,Yes,730 BRL,Yes,01040707
Revista Teoria e Evidência Econômica,Anonymous peer review,No,NA,Yes,01040960
Cultura Agronômica,Double anonymous peer review,Yes,200 BRL,Yes,01041010
Revista Latino-Americana de Enfermagem,Double anonymous peer review,No,NA,Yes,01041169
Journal of Human Growth and Development,Open peer review,No,NA,Yes,01041282
Saúde e Sociedade,Double anonymous peer review,No,NA,Yes,01041290
Revista Investigações,Anonymous peer review,No,NA,Yes,01041320
Polímeros,Peer review,Yes,800 BRL,Yes,01041428
Anos 90,Double anonymous peer review,No,NA,Yes,0104236X
Revista Temas em Educação,Double anonymous peer review,No,NA,Yes,01042777
Educação em Foco,Peer review,No,NA,Yes,01043293
Revista Enfermagem UERJ,Double anonymous peer review,Yes,350 USD; 1100 BRL,Yes,01043552
Ensino em Re-vista,Anonymous peer review,No,NA,Yes,01043757
Ensaio,Double anonymous peer review,No,NA,Yes,01044036
Educar em Revista,Double anonymous peer review,No,NA,Yes,01044060
Estudos em Design,Double anonymous peer review,No,NA,Yes,01044249
Roteiro,Double anonymous peer review,No,NA,Yes,01044311
Revista de Filosofia,Double anonymous peer review,No,NA,Yes,01044443
Zetetiké,Peer review,No,NA,Yes,01044877
Gestão & Produção,Anonymous peer review,Yes,550 BRL,Yes,0104530X
Revista Brasileira de Psicodrama,Double anonymous peer review,No,NA,Yes,01045393
Revista de Educação Pública,Double anonymous peer review,No,NA,Yes,01045962
"História, Ciências, Saúde: Manguinhos",Peer review,No,NA,Yes,01045970
Paisagem e Ambiente,Double anonymous peer review,No,NA,Yes,01046098
Opinião Pública,"Anonymous peer review, Double anonymous peer review, Open peer review",No,NA,Yes,01046276
